date,stock_Symbol,stock_name,price,open_price,low,close,high,volume_ltc,volume_hkd
2021-02-11 13:32:48,00001,長江和記實業有限公司 (1),53.500,HK$53.200,HK$53.100,HK$53.500,HK$53.900,5.41M,HK$288.88M
2021-02-11 13:32:56,00002,中電控股有限公司 (2),72.200,HK$71.900,HK$71.900,HK$72.200,HK$72.700,1.28M,HK$92.49M
2021-02-11 13:33:04,00003,香港中華煤氣有限公司 (3),10.980,HK$10.900,HK$10.900,HK$10.900,HK$11.060,14.65M,HK$161.25M
2021-02-11 13:33:12,00004,九龍倉集團有限公司 (4),17.300,HK$17.200,HK$17.120,HK$17.240,HK$17.380,488.69K,HK$8.42M
2021-02-11 13:33:20,00005,匯豐控股有限公司 (5),42.500,HK$42.500,HK$42.300,HK$42.600,HK$42.850,10.32M,HK$438.57M
2021-02-11 13:33:28,00006,電能實業有限公司 (6),41.350,HK$41.400,HK$41.200,HK$41.250,HK$41.550,1.01M,HK$41.83M
2021-02-11 13:33:37,00007,香港金融投資控股集團有限公司 (7),0.121,HK$0.120,HK$0.116,HK$0.120,HK$0.121,7.98M,HK$952.80K
2021-02-11 13:33:45,00008,電訊盈科有限公司 (8),4.580,HK$4.610,HK$4.550,HK$4.610,HK$4.610,6.77M,HK$30.92M
2021-02-11 13:33:53,00009,金奧國際股份有限公司 (9),0.060,-,-,HK$0.060,-,-,-
2021-02-11 13:34:01,00010,痗弦偎峖陪迨膝q (10),19.760,HK$19.700,HK$19.540,HK$19.720,HK$19.900,535.82K,HK$10.56M
2021-02-11 13:34:10,00011,琤芼行有限公司 (11),146.200,HK$144.500,HK$144.500,HK$145.300,HK$146.700,1.18M,HK$172.79M
2021-02-11 13:34:18,00012,痚禰業地產有限公司 (12),31.250,HK$31.200,HK$31.000,HK$31.000,HK$31.500,1.27M,HK$39.79M
2021-02-11 13:34:26,00013,,,,,,,,
2021-02-11 13:34:34,00014,希慎興業有限公司 (14),28.850,HK$28.650,HK$28.500,HK$28.600,HK$29.000,1.29M,HK$36.98M
2021-02-11 13:34:48,00016,新鴻基地產發展有限公司 (16),108.800,HK$108.500,HK$106.500,HK$107.200,HK$109.200,2.51M,HK$271.43M
2021-02-11 13:34:57,00017,新世界發展有限公司 (17),35.500,HK$35.050,HK$35.050,HK$35.400,HK$35.900,2.20M,HK$78.42M
2021-02-11 13:35:05,00018,東方報業集團有限公司 (18),0.510,-,-,HK$0.510,-,-,-
2021-02-11 13:35:13,00019,太古股份有限公司 'A' (19),49.300,HK$49.200,HK$49.000,HK$49.100,HK$49.750,378.61K,HK$18.69M
2021-02-11 13:35:22,00020,,,,,,,,
2021-02-11 13:35:40,00001,長江和記實業有限公司 (1),53.500,HK$53.200,HK$53.100,HK$53.500,HK$53.900,5.41M,HK$288.88M
2021-02-11 13:35:48,00002,中電控股有限公司 (2),72.200,HK$71.900,HK$71.900,HK$72.200,HK$72.700,1.28M,HK$92.49M
2021-02-11 13:35:56,00003,香港中華煤氣有限公司 (3),10.980,HK$10.900,HK$10.900,HK$10.900,HK$11.060,14.65M,HK$161.25M
2021-02-11 13:36:05,00004,九龍倉集團有限公司 (4),17.300,HK$17.200,HK$17.120,HK$17.240,HK$17.380,488.69K,HK$8.42M
2021-02-11 13:36:13,00005,匯豐控股有限公司 (5),42.500,HK$42.500,HK$42.300,HK$42.600,HK$42.850,10.32M,HK$438.57M
2021-02-11 13:36:21,00006,電能實業有限公司 (6),41.350,HK$41.400,HK$41.200,HK$41.250,HK$41.550,1.01M,HK$41.83M
2021-02-11 13:36:30,00007,香港金融投資控股集團有限公司 (7),0.121,HK$0.120,HK$0.116,HK$0.120,HK$0.121,7.98M,HK$952.80K
2021-02-11 13:36:38,00008,電訊盈科有限公司 (8),4.580,HK$4.610,HK$4.550,HK$4.610,HK$4.610,6.77M,HK$30.92M
2021-02-11 13:36:46,00009,金奧國際股份有限公司 (9),0.060,-,-,HK$0.060,-,-,-
2021-02-11 13:36:54,00010,痗弦偎峖陪迨膝q (10),19.760,HK$19.700,HK$19.540,HK$19.720,HK$19.900,535.82K,HK$10.56M
2021-02-11 13:37:03,00011,琤芼行有限公司 (11),146.200,HK$144.500,HK$144.500,HK$145.300,HK$146.700,1.18M,HK$172.79M
2021-02-11 13:37:11,00012,痚禰業地產有限公司 (12),31.250,HK$31.200,HK$31.000,HK$31.000,HK$31.500,1.27M,HK$39.79M
2021-02-11 13:37:19,00013,,,,,,,,
2021-02-11 13:37:35,00014,希慎興業有限公司 (14),28.850,HK$28.650,HK$28.500,HK$28.600,HK$29.000,1.29M,HK$36.98M
2021-02-11 13:37:49,00016,新鴻基地產發展有限公司 (16),108.800,HK$108.500,HK$106.500,HK$107.200,HK$109.200,2.51M,HK$271.43M
2021-02-11 13:37:58,00017,新世界發展有限公司 (17),35.500,HK$35.050,HK$35.050,HK$35.400,HK$35.900,2.20M,HK$78.42M
2021-02-11 13:38:06,00018,東方報業集團有限公司 (18),0.510,-,-,HK$0.510,-,-,-
2021-02-11 13:38:14,00019,太古股份有限公司 'A' (19),49.300,HK$49.200,HK$49.000,HK$49.100,HK$49.750,378.61K,HK$18.69M
2021-02-11 13:38:23,00020,,,,,,,,
2021-02-11 13:38:41,00001,長江和記實業有限公司 (1),53.500,HK$53.200,HK$53.100,HK$53.500,HK$53.900,5.41M,HK$288.88M
2021-02-11 13:38:49,00002,中電控股有限公司 (2),72.200,HK$71.900,HK$71.900,HK$72.200,HK$72.700,1.28M,HK$92.49M
2021-02-11 13:38:57,00003,香港中華煤氣有限公司 (3),10.980,HK$10.900,HK$10.900,HK$10.900,HK$11.060,14.65M,HK$161.25M
2021-02-11 13:39:05,00004,九龍倉集團有限公司 (4),17.300,HK$17.200,HK$17.120,HK$17.240,HK$17.380,488.69K,HK$8.42M
2021-02-11 13:39:13,00005,匯豐控股有限公司 (5),42.500,HK$42.500,HK$42.300,HK$42.600,HK$42.850,10.32M,HK$438.57M
2021-02-11 13:39:21,00006,電能實業有限公司 (6),41.350,HK$41.400,HK$41.200,HK$41.250,HK$41.550,1.01M,HK$41.83M
2021-02-11 13:39:29,00007,香港金融投資控股集團有限公司 (7),0.121,HK$0.120,HK$0.116,HK$0.120,HK$0.121,7.98M,HK$952.80K
2021-02-11 13:39:38,00008,電訊盈科有限公司 (8),4.580,HK$4.610,HK$4.550,HK$4.610,HK$4.610,6.77M,HK$30.92M
2021-02-11 13:39:46,00009,金奧國際股份有限公司 (9),0.060,-,-,HK$0.060,-,-,-
2021-02-11 13:39:54,00010,痗弦偎峖陪迨膝q (10),19.760,HK$19.700,HK$19.540,HK$19.720,HK$19.900,535.82K,HK$10.56M
2021-02-11 13:40:02,00011,琤芼行有限公司 (11),146.200,HK$144.500,HK$144.500,HK$145.300,HK$146.700,1.18M,HK$172.79M
2021-02-11 13:40:10,00012,痚禰業地產有限公司 (12),31.250,HK$31.200,HK$31.000,HK$31.000,HK$31.500,1.27M,HK$39.79M
2021-02-11 13:40:25,00014,希慎興業有限公司 (14),28.850,HK$28.650,HK$28.500,HK$28.600,HK$29.000,1.29M,HK$36.98M
2021-02-11 13:40:39,00016,新鴻基地產發展有限公司 (16),108.800,HK$108.500,HK$106.500,HK$107.200,HK$109.200,2.51M,HK$271.43M
2021-02-11 13:40:47,00017,新世界發展有限公司 (17),35.500,HK$35.050,HK$35.050,HK$35.400,HK$35.900,2.20M,HK$78.42M
2021-02-11 13:40:56,00018,東方報業集團有限公司 (18),0.510,-,-,HK$0.510,-,-,-
2021-02-11 13:41:04,00019,太古股份有限公司 'A' (19),49.300,HK$49.200,HK$49.000,HK$49.100,HK$49.750,378.61K,HK$18.69M
2021-02-11 13:41:28,00001,長江和記實業有限公司 (1),53.500,HK$53.200,HK$53.100,HK$53.500,HK$53.900,5.41M,HK$288.88M
2021-02-11 13:41:36,00002,中電控股有限公司 (2),72.200,HK$71.900,HK$71.900,HK$72.200,HK$72.700,1.28M,HK$92.49M
2021-02-11 13:41:44,00003,香港中華煤氣有限公司 (3),10.980,HK$10.900,HK$10.900,HK$10.900,HK$11.060,14.65M,HK$161.25M
